alt,pres,a_x,a_y,a_z,g_x,g_y,g_z,temp
0.01,993.36,-0.838,0.445,9.730,0.030,0.025,-0.056,36.70
0.02,993.35,-0.809,0.450,9.797,0.032,0.022,-0.059,36.70
-0.01,993.36,-0.828,0.469,9.773,0.033,0.023,-0.056,36.69
0.02,993.35,-0.809,0.469,9.783,0.032,0.022,-0.058,36.69
0.04,993.35,-0.824,0.431,9.730,0.032,0.024,-0.056,36.69
0.04,993.35,-0.824,0.464,9.697,0.031,0.022,-0.056,36.70
0.03,993.35,-0.814,0.455,9.797,0.032,0.023,-0.055,36.68
0.07,993.35,-0.848,0.484,9.744,0.033,0.022,-0.055,36.68
0.02,993.35,-0.848,0.469,9.754,0.032,0.022,-0.057,36.71
0.08,993.35,-0.800,0.460,9.740,0.033,0.024,-0.055,36.70
0.00,993.36,-0.838,0.464,9.749,0.033,0.022,-0.054,36.72
0.07,993.35,-0.809,0.436,9.744,0.032,0.020,-0.057,36.71
0.06,993.35,-0.876,0.460,9.764,0.030,0.021,-0.057,36.69
-0.00,993.36,-0.819,0.469,9.725,0.032,0.023,-0.056,36.69
0.04,993.35,-0.838,0.469,9.768,0.031,0.023,-0.055,36.69
-0.02,993.36,-0.862,0.450,9.759,0.033,0.023,-0.056,36.70
0.00,993.36,-0.828,0.474,9.706,0.032,0.022,-0.056,36.69
0.01,993.36,-0.819,0.450,9.773,0.032,0.022,-0.057,36.69
-0.05,993.36,-0.833,0.426,9.835,0.031,0.022,-0.056,36.71
-0.02,993.36,-0.828,0.455,9.711,0.030,0.023,-0.056,36.70
0.02,993.35,-0.828,0.455,9.754,0.031,0.022,-0.056,36.69
0.02,993.35,-0.795,0.445,9.759,0.031,0.025,-0.056,36.70
0.00,993.36,-0.848,0.479,9.754,0.033,0.022,-0.056,36.70
-0.00,993.36,-0.809,0.436,9.773,0.033,0.021,-0.055,36.71
0.00,993.36,-0.833,0.455,9.706,0.030,0.021,-0.055,36.69
-0.02,993.36,-0.881,0.488,9.783,0.031,0.021,-0.055,36.68
-0.01,993.36,-0.804,0.445,9.835,0.031,0.024,-0.055,36.69
-0.01,993.36,-0.804,0.441,9.759,0.031,0.022,-0.055,36.68
0.02,993.35,-0.814,0.474,9.816,0.031,0.023,-0.058,36.72
0.00,993.36,-0.828,0.479,9.764,0.032,0.024,-0.056,36.70
-0.03,993.36,-0.824,0.445,9.749,0.033,0.023,-0.056,36.69
-0.05,993.36,-0.814,0.460,9.759,0.032,0.023,-0.056,36.71
0.02,993.35,-0.795,0.436,9.787,0.032,0.021,-0.057,36.72
0.04,993.35,-0.819,0.464,9.740,0.033,0.021,-0.055,36.70
0.02,993.35,-0.790,0.479,9.797,0.031,0.022,-0.056,36.74
0.05,993.35,-0.809,0.450,9.740,0.033,0.023,-0.057,36.72
0.02,993.35,-0.809,0.464,9.740,0.031,0.022,-0.056,36.70
0.02,993.35,-0.804,0.426,9.768,0.031,0.021,-0.057,36.70
-0.00,993.36,-0.824,0.464,9.725,0.031,0.022,-0.055,36.72
0.01,993.36,-0.824,0.455,9.740,0.032,0.022,-0.056,36.71
0.02,993.35,-0.838,0.488,9.773,0.031,0.022,-0.055,36.70
0.01,993.36,-0.828,0.484,9.744,0.033,0.022,-0.054,36.71
0.04,993.35,-0.804,0.445,9.768,0.033,0.023,-0.057,36.69
0.06,993.35,-0.795,0.441,9.768,0.030,0.021,-0.057,36.70
0.01,993.36,-0.814,0.484,9.744,0.032,0.022,-0.057,36.71
0.03,993.35,-0.819,0.450,9.845,0.031,0.023,-0.056,36.71
0.00,993.36,-0.814,0.474,9.759,0.031,0.023,-0.055,36.69
-0.01,993.36,-0.838,0.484,9.773,0.031,0.023,-0.055,36.71
-0.01,993.36,-0.804,0.441,9.706,0.032,0.022,-0.054,36.69
0.05,993.35,-0.828,0.460,9.754,0.032,0.023,-0.055,36.70
0.01,993.36,-0.814,0.450,9.697,0.030,0.021,-0.056,36.68
0.02,993.35,-0.809,0.479,9.754,0.033,0.022,-0.055,36.70
